"Overlay","File","SizeBytes","Sha256"
"r3-x64-off","Microsoft.Extensions.ObjectPool.dll","19968","1F233C35416A36D4F8C69D2277AFF5FD26E790F1F91DE8BC0BF14D92542AC4D5"
"r3-x64-off","Microsoft.Extensions.Options.ConfigurationExtensions.dll","18944","12FBF44170E08EF4BA765DED95D4222F245D02024C43309FCC952E7F9D86C1B0"
"r3-x64-off","Microsoft.Extensions.Options.DataAnnotations.dll","29696","7E72A09A5EA664229F8AD75970C46EAF13A3910E9A7B8252946235045BC9448E"
"r3-x64-off","Microsoft.Extensions.Options.dll","71680","58F658395505E957EF15CACDCD4F40C5529E4A77CFB4E7A4E25AD0D3B3B20FF7"
"r3-x64-off","Microsoft.Extensions.Options.xml","152783","3A6AC7F6B8FB2F5390E2E0389D634541F72523FE84E2385C08C8ADAC760D9803"
"r3-x64-off","Microsoft.Extensions.Primitives.dll","35840","744F9E1EBCB20D724C5AE8D23661F712D7198761F8F1D6D852BFBEC6C0661EA6"
"r3-x64-off","Microsoft.Extensions.Primitives.xml","86329","5FFD0C15EE1892CE003D64BE0EF4808D2824469C03D1B3465569275958AF83C7"
"r3-x64-off","Microsoft.Extensions.Validation.dll","19456","701BAC665462B7E247D15E85EBADA6AA03A01890BEA3EC67E70D518C7060F369"
"r3-x64-off","Microsoft.Extensions.WebEncoders.dll","18432","37497DDE948ECF3EAA6EF82A7E94695F1423C378F476FC146C76D427BC41A394"
"r3-x64-off","Microsoft.JSInterop.dll","148992","24BFEBD62F4890FE1ED7FC4D9B92CF53D1B76F4E907E68CAAEA50B669F4DE406"
"r3-x64-off","Microsoft.Net.Http.Headers.dll","201216","2F795B47178D4B43CA616AC7BFC5F867A4F38522606E47AAC3F86184C03260C5"
"r3-x64-off","Microsoft.VisualBasic.Core.dll","418816","82CB5167820C09B44A79C1EFBB6BB89AB4976AEBCA319232721DEADD75B26A97"
"r3-x64-off","Microsoft.VisualBasic.dll","7168","24BB4AF277505EE625B5BC05219FEAF386A06E4D832B0576C8C61E5A265915B3"
"r3-x64-off","Microsoft.Win32.Primitives.dll","5120","E97CD85727C4CE74A569EE9B38582A89DD07D4A3E745DCB63B52A3BD40D76CB3"
"r3-x64-off","Microsoft.Win32.Primitives.xml","4229","1FA658FA646F6CB221F0839B84386B569B68C920756C266357C427E024B0C735"
"r3-x64-off","Microsoft.Win32.Registry.dll","23040","6A4319770F9CF421EE799611A2F1EB83E186214049329D0C3D51DCB23EBBE740"
"r3-x64-off","Microsoft.Win32.Registry.xml","94259","B4992C339974E430417C5464764547506D4AEEC15B02122E9333A0742B0EBACE"
